Voix,FilsTool,Beteau ivre,FilsTool-Bateau_ivre.mp3
Voix,FilsTool,L'avenir est dark,FilsTool-L_avenir_est_dark.mp3
Instrumental,FilsTool,Bateau ivre,FilsTool-Bateau_ivre_instrumental.wav
Voix,FilsTool,L'aventure nous attend,FilsTool-L_aventure_nous_attend.mp3
Voix,FilsTool,Chuis partout,FilsTool-Chuis_partout.mp3
Voix,FilsTool,Si j'avais les moyens,FilsTool-Si_j_avais_les_moyens.mp3
Instrumental,Chuis partout,FilsTool,FilsTool-Chuis_partout_instrumental.mp3
Voix,FilsTool,Tuninges,FilsTool-Tuninges.wav
Voix,FilsTool,Famais je touche,FilsTool-Jamais_je_touche.mp3
